Locality,CountyFIPS,HealthDistrict,HPR
Accomack,51001,Eastern Shore,Eastern Region
Albemarle,51003,Blue Ridge,Northwest Region
Alexandria,51510,Alexandria,Northern Region
Alleghany,51005,Alleghany,Southwest Region
Amelia,51007,Piedmont,Central Region
Amherst,51009,Central Virginia,Southwest Region
Appomattox,51011,Central Virginia,Southwest Region
Arlington,51013,Arlington,Northern Region
Augusta,51015,Central Shenandoah,Northwest Region
Bath,51017,Central Shenandoah,Northwest Region
Bedford,51019,Central Virginia,Southwest Region
Bland,51021,Mount Rogers,Southwest Region
Botetourt,51023,Alleghany,Southwest Region
Bristol,51520,Mount Rogers,Southwest Region
Brunswick,51025,Southside,Central Region
Buchanan,51027,Cumberland Plateau,Southwest Region
Buckingham,51029,Piedmont,Central Region
Buena Vista City,51530,Central Shenandoah,Northwest Region
Campbell,51031,Central Virginia,Southwest Region
Caroline,51033,Rappahannock,Northwest Region
Carroll,51035,Mount Rogers,Southwest Region
Charles City,51036,Chickahominy,Central Region
Charlotte,51037,Piedmont,Central Region
Charlottesville,51540,Blue Ridge,Northwest Region
Chesapeake,51550,Chesapeake,Eastern Region
Chesterfield,51041,Chesterfield,Central Region
Clarke,51043,Lord Fairfax,Northwest Region
Colonial Heights,51570,Chesterfield,Central Region
Covington,51580,Alleghany,Southwest Region
Craig,51045,Alleghany,Southwest Region
Culpeper,51047,Rappahannock Rapidan,Northwest Region
Cumberland,51049,Piedmont,Central Region
Danville,51590,Pittsylvania-Danville,Southwest Region
Dickenson,51051,Cumberland Plateau,Southwest Region
Dinwiddie,51053,Crater,Central Region
Emporia,51595,Crater,Central Region
Essex,51057,Three Rivers,Eastern Region
Fairfax,51059,Fairfax,Northern Region
Fairfax City,51600,Fairfax,Northern Region
Falls Church,51610,Fairfax,Northern Region
Fauquier,51061,Rappahannock Rapidan,Northwest Region
Floyd,51063,New River,Southwest Region
Fluvanna,51065,Blue Ridge,Northwest Region
Franklin City,51620,Western Tidewater,Eastern Region
Franklin County,51067,West Piedmont,Southwest Region
Frederick,51069,Lord Fairfax,Northwest Region
